Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"FaaSter, Better, Cheaper: The Prospect of Serverless Scientific Computing and HPC","High Performance Computing","","","","10.1007/978-3-319-73353-1_11","Josef SpillnerCristian MateosDavid A. Monge","2018","http://link.springer.com/chapter/10.1007/978-3-319-73353-1_11","Chapter"
"Serverless Execution of Scientific Workflows","Service-Oriented Computing","","","","10.1007/978-3-319-69035-3_51","Qingye JiangYoung Choon LeeAlbert Y. Zomaya","2017","http://link.springer.com/chapter/10.1007/978-3-319-69035-3_51","Chapter"
"Se-Lambda: Securing Privacy-Sensitive Serverless Applications Using SGX Enclave","Security and Privacy in Communication Networks","","","","10.1007/978-3-030-01701-9_25","Weizhong QiangZezhao DongHai Jin","2018","http://link.springer.com/chapter/10.1007/978-3-030-01701-9_25","Chapter"
"FaaStest - Machine Learning Based Cost and Performance FaaS Optimization","Economics of Grids, Clouds, Systems, and Services","","","","10.1007/978-3-030-13342-9_15","Shay HorovitzRoei AmosOhad BaruchTomer CohenTal OyarAfik Deri","2019","http://link.springer.com/chapter/10.1007/978-3-030-13342-9_15","Chapter"
"Empowering Low-Latency Applications Through a Serverless Edge Computing Architecture","Service-Oriented and Cloud Computing","","","","10.1007/978-3-319-67262-5_15","Luciano BaresiDanilo Filgueira MendonçaMartin Garriga","2017","http://link.springer.com/chapter/10.1007/978-3-319-67262-5_15","Chapter"
"Troubleshooting Serverless functions: a combined monitoring and debugging approach","SICS Software-Intensive Cyber-Physical Systems","","34","2 - 3","10.1007/s00450-019-00398-6","Johannes MannerStefan KolbGuido Wirtz","2019","http://link.springer.com/article/10.1007/s00450-019-00398-6","Article"
"Benchmarking Heterogeneous Cloud Functions","Euro-Par 2017: Parallel Processing Workshops","","","","10.1007/978-3-319-75178-8_34","Maciej MalawskiKamil FigielaAdam GajekAdam Zima","2018","http://link.springer.com/chapter/10.1007/978-3-319-75178-8_34","Chapter"
"Using a Microbenchmark to Compare Function as a Service Solutions","Service-Oriented and Cloud Computing","","","","10.1007/978-3-319-99819-0_11","Timon BackVasilios Andrikopoulos","2018","http://link.springer.com/chapter/10.1007/978-3-319-99819-0_11","Chapter"
"A QoS-Aware Resource Allocation Controller for Function as a Service (FaaS) Platform","Service-Oriented Computing","","","","10.1007/978-3-319-69035-3_17","MohammadReza HoseinyFarahabadyYoung Choon LeeAlbert Y. ZomayaZahir Tari","2017","http://link.springer.com/chapter/10.1007/978-3-319-69035-3_17","Chapter"
"Approaches of enhancing interoperations among high performance computing and big data analytics via augmentation","Cluster Computing","","","","10.1007/s10586-019-02960-y","Ajeet Ram PathakManjusha PandeySiddharth S. Rautaray","2019","http://link.springer.com/article/10.1007/s10586-019-02960-y","Article"
