"literature_type","characteristic","p_total","aws","azure","cloudflare","google","ibm","self_hosted","self_hosted_openwhisk"
"academic","c_total",51,45,14,0,14,10,12,7
"academic","micro_bench",34,30,13,0,9,9,10,5
"academic","app_bench",29,26,3,0,6,2,4,3
"academic","cpu",21,18,8,0,8,6,5,2
"academic","fileio",4,4,3,0,3,1,0,0
"academic","network",9,9,4,0,4,2,1,1
"academic","other_micro",11,9,5,0,2,3,4,2
"academic","overhead",23,19,8,0,5,4,9,5
"academic","concurrency",33,29,7,0,6,4,8,4
"academic","lifetime",5,5,4,0,3,2,1,0
"academic","infra",6,6,3,0,3,1,0,0
"grey","c_total",61,54,15,4,12,5,4,1
"grey","micro_bench",50,46,13,4,11,4,3,0
"grey","app_bench",19,16,5,0,4,2,2,1
"grey","cpu",24,22,6,1,5,1,1,0
"grey","fileio",5,3,4,0,3,0,1,0
"grey","network",3,3,2,0,2,0,0,0
"grey","other_micro",26,24,6,3,5,3,2,0
"grey","overhead",34,28,10,3,8,5,4,1
"grey","concurrency",29,25,13,1,10,4,2,0
"grey","lifetime",8,8,2,0,2,0,0,0
"grey","infra",0,0,0,0,0,0,0,0
