"new_col","literature_type","freq","rel_freq","total","rel_total","facet"
"Ruby","Academic",0,0,5,4.0983606557377,"(a) Language Runtimes"
"Ruby","Grey",5,8.19672131147541,5,4.0983606557377,"(a) Language Runtimes"
"Unknown","Academic",8,15.6862745098039,13,11.9414979106397,"(a) Language Runtimes"
"Unknown","Grey",5,8.19672131147541,13,11.9414979106397,"(a) Language Runtimes"
"C#","Academic",4,7.84313725490196,18,15.3969784635166,"(a) Language Runtimes"
"C#","Grey",14,22.9508196721311,18,15.3969784635166,"(a) Language Runtimes"
"Go","Academic",4,7.84313725490196,18,15.3969784635166,"(a) Language Runtimes"
"Go","Grey",14,22.9508196721311,18,15.3969784635166,"(a) Language Runtimes"
"Others","Academic",4,7.84313725490196,19,16.2166505946641,"(a) Language Runtimes"
"Others","Grey",15,24.5901639344262,19,16.2166505946641,"(a) Language Runtimes"
"Java","Academic",7,13.7254901960784,28,24.0758598521376,"(a) Language Runtimes"
"Java","Grey",21,34.4262295081967,28,24.0758598521376,"(a) Language Runtimes"
"Node.js","Academic",15,29.4117647058824,49,42.5747348119576,"(a) Language Runtimes"
"Node.js","Grey",34,55.7377049180328,49,42.5747348119576,"(a) Language Runtimes"
"Python","Academic",25,49.0196078431373,51,45.8212793314047,"(a) Language Runtimes"
"Python","Grey",26,42.6229508196721,51,45.8212793314047,"(a) Language Runtimes"
"Database","Academic",2,3.92156862745098,2,1.96078431372549,"(b) Function Triggers"
"Database","Grey",0,0,2,1.96078431372549,"(b) Function Triggers"
"Queue","Academic",1,1.96078431372549,3,2.61973641915783,"(b) Function Triggers"
"Queue","Grey",2,3.27868852459016,3,2.61973641915783,"(b) Function Triggers"
"CLI","Academic",2,3.92156862745098,3,2.78045644487303,"(b) Function Triggers"
"CLI","Grey",1,1.63934426229508,3,2.78045644487303,"(b) Function Triggers"
"Timer","Academic",1,1.96078431372549,4,3.43940855030537,"(b) Function Triggers"
"Timer","Grey",3,4.91803278688525,4,3.43940855030537,"(b) Function Triggers"
"Pub/Sub","Academic",2,3.92156862745098,4,3.60012857602057,"(b) Function Triggers"
"Pub/Sub","Grey",2,3.27868852459016,4,3.60012857602057,"(b) Function Triggers"
"Stream","Academic",2,3.92156862745098,6,5.23947283831565,"(b) Function Triggers"
"Stream","Grey",4,6.55737704918033,6,5.23947283831565,"(b) Function Triggers"
"Workflow","Academic",4,7.84313725490196,7,6.3805850208936,"(b) Function Triggers"
"Workflow","Grey",3,4.91803278688525,7,6.3805850208936,"(b) Function Triggers"
"Storage","Grey",2,3.27868852459016,9,8.5020893603343,"(b) Function Triggers"
"Storage","Academic",7,13.7254901960784,9,8.5020893603343,"(b) Function Triggers"
"SDK","Academic",7,13.7254901960784,12,10.9611057537769,"(b) Function Triggers"
"SDK","Grey",5,8.19672131147541,12,10.9611057537769,"(b) Function Triggers"
"Unknown","Academic",4,7.84313725490196,13,11.2986178077788,"(b) Function Triggers"
"Unknown","Grey",9,14.7540983606557,13,11.2986178077788,"(b) Function Triggers"
"HTTP","Grey",35,57.3770491803279,64,57.1198971391835,"(b) Function Triggers"
"HTTP","Academic",29,56.8627450980392,64,57.1198971391835,"(b) Function Triggers"
"Cloud Network","Grey",3,4.91803278688525,3,2.45901639344262,"(c) External Services"
"Cloud Network","Academic",0,0,3,2.45901639344262,"(c) External Services"
"Cloud Pub/Sub","Grey",3,4.91803278688525,5,4.41980070716811,"(c) External Services"
"Cloud Pub/Sub","Academic",2,3.92156862745098,5,4.41980070716811,"(c) External Services"
"Cloud Queue","Academic",2,3.92156862745098,5,4.41980070716811,"(c) External Services"
"Cloud Queue","Grey",3,4.91803278688525,5,4.41980070716811,"(c) External Services"
"Cloud Stream","Grey",4,6.55737704918033,7,6.2198649951784,"(c) External Services"
"Cloud Stream","Academic",3,5.88235294117647,7,6.2198649951784,"(c) External Services"
"Cloud Workflow","Grey",3,4.91803278688525,7,6.3805850208936,"(c) External Services"
"Cloud Workflow","Academic",4,7.84313725490196,7,6.3805850208936,"(c) External Services"
"Others","Academic",6,11.7647058823529,7,6.70202507232401,"(c) External Services"
"Others","Grey",1,1.63934426229508,7,6.70202507232401,"(c) External Services"
"Cloud Database","Academic",5,9.80392156862745,14,12.2790099646416,"(c) External Services"
"Cloud Database","Grey",9,14.7540983606557,14,12.2790099646416,"(c) External Services"
"None","Academic",5,9.80392156862745,16,13.9183542269367,"(c) External Services"
"None","Grey",11,18.0327868852459,16,13.9183542269367,"(c) External Services"
"Cloud Storage","Academic",24,47.0588235294118,30,28.4474445515911,"(c) External Services"
"Cloud Storage","Grey",6,9.83606557377049,30,28.4474445515911,"(c) External Services"
"Cloud API Gateway","Academic",29,56.8627450980392,64,57.1198971391835,"(c) External Services"
"Cloud API Gateway","Grey",35,57.3770491803279,64,57.1198971391835,"(c) External Services"
